PREF_NAME,PREFECTUAL_OFFICE,LATITUDE,LONGITUDE
Hokkaido,Sapporo,43.063968,141.347899
Aomori Prefecture,Aomori,40.824622999999995,140.740593
Iwate Prefecture,Morioka,39.703531,141.15266699999998
Miyagi Prefecture,Sendai,38.268839,140.872103
Akita,Akita,39.7186,140.102334
Yamagata Prefecture,Yamagata,38.240437,140.36363400000002
Fukushima Prefecture,Fukushima,37.750299,140.467521
Ibaraki Prefecture,Mito,36.341813,140.44679299999999
Tochigi Prefecture,Utsunomiya,36.565725,139.883565
Gunma Prefecture,Maebashi,36.391208,139.060156
Saitama Prefecture,Saitama,35.857428000000006,139.648933
Chiba Prefecture,Chiba,35.605058,140.123308
Tokyo,Shinjuku,35.689521,139.69170400000002
Kanagawa Prefecture,Yokohama,35.447753000000006,139.64251399999998
Niigata Prefecture,Niigata,37.902418,139.023221
Toyama Prefecture,Toyama,36.69529,137.21133799999998
Ishikawa Prefecture,Kanazawa,36.594682,136.625573
Fukui Prefecture,Fukui,36.065219,136.221642
Yamanashi Prefecture,Kofu,35.664158,138.568449
Nagano Prefecture,Nagano,36.651289,138.181224
Gifu Prefecture,Gifu,35.391227,136.72229099999998
Shizuoka Prefecture,Shizuoka,34.976978,138.38305400000002
Aichi Prefecture,Nagoya city,35.180188,136.906565
Mie,Tsu,34.730283,136.508591
Shiga Prefecture,Otsu,35.004531,135.86858999999998
Kyoto,Kyoto City,35.021004,135.755608
Osaka prefecture,Osaka,34.686316,135.519711
Hyogo Prefecture,Kobe,34.691278999999994,135.183025
Nara Prefecture,Nara,34.685333,135.832744
Wakayama Prefecture,Wakayama,34.226034000000006,135.167506
Tottori Prefecture,Tottori,35.503869,134.237672
Shimane Prefecture,Matsue,35.472297,133.050499
Okayama Prefecture,Okayama,34.661772,133.934675
Hiroshima Prefecture,Hiroshima,34.39656,132.459622
Yamaguchi Prefecture,Yamaguchi,34.186121,131.4705
Tokushima Prefecture,Tokushima,34.06577,134.559303
Kagawa Prefecture,Takamatsu,34.340149,134.043444
Ehime Prefecture,Matsuyama,33.84166,132.765362
Kochi Prefecture,Kochi,33.559705,133.53108
Fukuoka Prefecture,Fukuoka,33.606784999999995,130.41831399999998
Saga Prefecture,Saga,33.249367,130.298822
Nagasaki Prefecture,Nagasaki,32.744839,129.87375600000001
Kumamoto Prefecture,Kumamoto,32.789828,130.741667
Oita Prefecture,Oita,33.238194,131.61259099999998
Miyazaki Prefecture,Miyazaki,31.91109,131.423855
Kagoshima prefecture,Kagoshima,31.560147999999998,130.557981
Okinawa,Naha,26.212401,127.68093200000001
